date,fuel_price_usd,tension_index,weather_risk,congestion_index,demand_index
2026-06-04,94.9,56.0,1.9,5.6,45.0
2026-06-05,99.4,54.9,3.4,5.1,46.7
2026-06-06,90.4,58.6,3.7,4.6,47.8
2026-06-07,95.5,59.6,0.8,7.1,47.1
2026-06-08,98.5,57.2,1.2,6.4,49.0
2026-06-09,101.9,59.2,0.3,5.7,50.6
2026-06-10,105.1,63.6,2.0,5.9,52.4
2026-06-11,105.3,65.8,2.9,4.6,52.3
2026-06-12,108.2,62.9,3.5,7.4,52.5
2026-06-13,111.3,62.1,2.0,5.5,55.3
2026-06-14,118.0,64.8,3.5,5.3,56.8
2026-06-15,114.0,63.5,0.4,5.7,59.1
2026-06-16,108.2,64.5,0.0,5.4,60.6
2026-06-17,114.4,66.1,1.5,5.1,62.1
2026-06-18,109.9,64.4,1.9,4.2,64.6
2026-06-19,101.3,64.4,1.4,5.1,65.3
2026-06-20,100.1,58.0,0.0,6.2,66.7
2026-06-21,101.3,56.0,1.2,5.6,67.4
2026-06-22,104.2,55.6,0.0,5.7,68.0
2026-06-23,107.8,53.1,1.8,4.0,68.7
2026-06-24,105.6,56.5,1.4,3.5,69.9
2026-06-25,105.7,53.6,0.0,4.1,70.2
2026-06-26,109.3,52.8,0.4,4.1,72.5
2026-06-27,112.1,53.1,0.0,4.9,72.0
2026-06-28,111.3,56.0,0.7,2.5,72.3
2026-06-29,105.0,53.2,1.6,5.0,72.2
2026-06-30,102.6,55.5,0.0,3.6,74.2
2026-07-01,103.5,55.6,1.0,3.3,74.6
2026-07-02,99.6,53.6,0.0,2.7,75.9
2026-07-03,94.3,54.5,0.0,2.1,74.0
2026-07-04,93.7,54.9,0.3,4.1,74.1
2026-07-05,92.1,53.7,0.0,3.4,74.8
2026-07-06,95.0,53.8,0.0,2.2,74.5
2026-07-07,96.0,53.0,0.0,2.1,75.2
2026-07-08,97.8,53.2,2.2,2.8,73.9
2026-07-09,95.0,54.5,0.2,4.4,74.7
2026-07-10,93.1,57.6,0.0,2.8,76.6
2026-07-11,94.2,55.1,0.3,1.7,75.1
2026-07-12,91.4,59.3,0.0,2.7,73.5
2026-07-13,93.1,55.3,0.0,2.6,74.1
2026-07-14,90.4,54.9,0.7,0.6,74.7
2026-07-15,87.3,56.0,0.8,2.7,72.8
2026-07-16,83.2,56.5,0.0,2.5,70.9
2026-07-17,79.0,55.1,0.0,3.2,69.1
2026-07-18,79.6,54.6,0.0,4.1,66.0
2026-07-19,79.8,53.5,0.0,3.5,63.5
2026-07-20,77.9,52.2,0.0,2.4,60.7
2026-07-21,77.1,53.8,1.4,1.7,58.3
2026-07-22,73.7,54.4,1.7,4.6,56.8
2026-07-23,75.3,52.9,0.0,2.6,55.6
2026-07-24,72.0,54.5,0.6,2.5,56.0
2026-07-25,73.2,55.0,0.4,2.5,53.3
2026-07-26,72.9,56.4,3.2,2.7,53.2
2026-07-27,71.6,57.5,1.2,2.4,51.6
2026-07-28,71.8,55.7,0.0,2.1,50.3
2026-07-29,72.0,54.4,0.0,2.1,49.9
2026-07-30,74.2,55.7,0.0,2.5,47.4
2026-07-31,78.0,56.8,0.4,2.1,46.9
2026-08-01,76.3,56.5,0.0,2.0,46.2
2026-08-02,76.0,56.6,0.0,2.7,46.0
2026-08-03,83.3,58.9,0.0,2.4,45.6
2026-08-04,84.7,57.5,0.0,3.9,48.0
2026-08-05,84.9,58.4,2.1,0.6,46.7
2026-08-06,84.2,57.8,1.4,3.6,45.8
2026-08-07,88.1,57.1,0.6,3.8,44.8
2026-08-08,89.2,59.1,2.1,1.2,44.0
2026-08-09,91.0,60.5,0.8,2.6,43.3
2026-08-10,94.1,61.8,0.0,2.7,44.9
2026-08-11,100.7,64.2,2.3,1.9,46.9
2026-08-12,96.8,64.0,1.4,2.4,46.6
2026-08-13,88.4,65.1,0.0,2.2,46.1
2026-08-14,84.1,64.2,0.8,4.6,47.3
2026-08-15,90.7,64.6,0.2,4.0,47.4
2026-08-16,89.0,64.0,0.0,4.4,49.0
2026-08-17,90.1,63.9,2.2,4.0,50.2
2026-08-18,83.8,64.8,3.3,2.6,49.5
2026-08-19,79.4,62.9,0.0,3.2,52.5
2026-08-20,79.4,66.8,2.1,4.1,55.8
2026-08-21,82.5,64.5,1.0,2.8,56.4
2026-08-22,83.6,61.7,1.2,4.4,57.3
2026-08-23,87.7,63.7,1.2,3.7,59.0
2026-08-24,88.9,65.0,1.0,3.7,60.9
2026-08-25,89.0,65.9,2.0,4.7,63.1
2026-08-26,87.1,66.8,1.2,4.6,67.1
2026-08-27,88.5,66.5,2.4,4.0,68.3
2026-08-28,90.9,64.4,2.2,5.3,68.9
2026-08-29,91.0,64.2,2.1,3.6,68.7
2026-08-30,91.6,62.5,1.5,5.1,69.3
2026-08-31,93.8,64.1,2.0,5.2,70.7
2026-09-01,94.4,63.4,3.4,4.5,74.3
2026-09-02,92.2,61.4,3.3,5.2,75.0
2026-09-03,88.6,60.4,1.9,4.0,76.6
2026-09-04,87.8,60.9,3.0,5.8,77.8
2026-09-05,89.7,59.4,3.8,5.0,80.3
2026-09-06,89.3,57.4,1.5,4.9,84.4
2026-09-07,90.5,57.5,3.8,6.2,84.8
2026-09-08,94.7,57.6,2.7,4.9,85.0
2026-09-09,95.6,56.2,4.0,4.5,87.0
2026-09-10,95.5,54.9,2.8,4.4,88.5
2026-09-11,96.3,55.0,1.8,6.3,91.2
2026-09-12,97.9,51.7,2.1,4.8,92.3
2026-09-13,101.2,48.5,3.9,7.4,92.2
2026-09-14,107.6,46.7,4.2,4.4,93.1
2026-09-15,104.6,45.8,3.1,7.5,94.4
2026-09-16,105.7,46.1,4.8,6.4,95.3
2026-09-17,108.8,48.6,2.6,6.2,95.7
2026-09-18,105.8,49.9,4.2,6.0,96.6
2026-09-19,104.8,49.2,3.2,6.8,97.6
2026-09-20,103.9,48.8,3.8,6.5,98.6
2026-09-21,100.3,46.4,4.6,7.5,98.7
2026-09-22,99.2,45.9,3.8,6.8,97.7
2026-09-23,103.1,44.9,4.4,6.9,97.0
2026-09-24,106.6,45.2,5.8,6.6,97.4
2026-09-25,98.4,43.1,4.3,6.9,95.3
